type,pre_col,par_mean,k_mean,par_median,k_median,state,mr_kq5_pq1,mr_ktop1_pq1
1,81050.92463,81050.92463,31223.54659,71000,25100,CA,0.016137306,1.99E-04
3,116335.8802,116335.8802,25945.04753,77400,15500,CA,0.0032767779,0.000010579592
1,86412.95092,86412.95092,37194.80158,75000,33700,CA,0.0163964,0.000056833906
2,254125.5501,254125.5501,58066.14856,122400,49000,CA,0.033389218,0.0017558632
1,107335.2981,107335.2981,44142.78025,91100,38500,CA,0.02065892,0.00059414649
2,191723.4688,191723.4688,55442.95313,80500,47600,CA,0.042668778,0.000053112406
2,175658.9375,175658.9375,57674.84375,96400,50700,CA,0.027723918,0.0063170469
1,94223.16822,94223.16822,37108.57361,73500,31500,CA,0.020778358,0.00039528208
1,68739.46256,68739.46256,34430.09624,44600,29500,CA,0.048148058,0.0011834741
3,131895.1172,131895.1172,17539.01953,85200,10300,CA,0.00029449805,0.000090081929
2,371031.0396,371031.0396,74970.85492,124100,55800,CA,0.018597502,0.0029772737
2,434121.4144,434121.4144,51976.01988,131900,43500,CA,0.022146214,1.71E-03
3,61987.96099,61987.96099,28357.83861,48500,24500,CA,0.035378132,0.00042899544
2,168316.8487,168316.8487,51744.29555,113300,45900,CA,0.014089341,0.0013588076
2,324439.5016,324439.5016,90406.20437,161600,62000,CA,0.019502569,0.00062907249
1,86310.76223,86310.76223,41066.0084,63600,33700,CA,0.02645644,0.000467198
1,57731.04765,57731.04765,35389.4594,46500,32400,CA,0.034616757,0.00045200918
1,80882.55802,80882.55802,33397.399,70800,28800,CA,0.017877668,0.00033601408
1,138658.7393,138658.7393,37931.57487,100600,31100,CA,0.011584052,0.00031755737
2,191245.6771,191245.6771,65125.45085,110500,55200,CA,0.029426431,0.00099159521
1,69714.46351,69714.46351,31807.68551,55000,25900,CA,0.02828251,0.00043117587
1,89368.30247,89368.30247,36581.09854,63200,30900,CA,0.027009523,0.0003857555
1,139292.3704,139292.3704,57036.05158,100500,51000,CA,0.036618356,0.0016755871
